1453447275,76,83
1453447276,77,69
1453447277,78,40
1453447278,79,35
1453447279,80,29
1453447280,81,40
1453447281,82,64
1453447282,83,67
1453447283,84,70
1453447284,85,63
1453447285,86,51
1453447286,87,47
1453447287,88,47
1453447288,89,51
1453447289,90,63
1453447290,91,56
1453447291,92,69
1453447292,93,75
1453447293,94,74
1453447294,95,81
1453447295,96,74
1453447296,97,61
1453447297,98,64
1453447298,99,66
1453447299,100,60
1453447300,101,84
1453447301,102,75
1453447302,103,70
1453447303,104,74
1453447304,105,50
1453447305,106,57
1453447306,107,51
1453447307,108,38
1453447308,109,47
1453447309,110,38
1453447310,111,40
1453447311,112,61
1453447312,113,60
1453447313,114,57
1453447314,115,60
1453447315,116,40
1453447316,117,14
1453447317,118,10
1453447317,119,1
1453447319,120,11
1453447320,121,43
1453447321,122,63
1453447322,123,80
1453447322,124,84
1453447323,125,75
1453447324,126,63
1453447325,127,51
1453447327,128,51
1453447327,129,50
1453447328,130,53
1453447329,131,66
1453447330,132,54
1453447331,133,64
1453447332,134,48
1453447333,135,43
1453447334,136,43
1453447335,137,38
1453447336,138,61
1453447337,139,61
1453447338,140,74
1453447339,141,81
1453447340,142,74
1453447341,143,67
1453447342,144,64
1453447343,145,54
1453447344,146,56
1453447345,147,64
1453447346,148,67
1453447347,149,78
1453447348,150,67
1453447349,151,53
1453447350,152,54
1453447351,153,47
1453447352,154,47
1453447353,155,57
1453447354,156,54
1453447355,157,53
1453447356,158,66
1453447357,159,81
1453447358,160,96
1453447359,161,96
1453447360,162,97
1453447361,163,81
1453447362,164,78
1453447363,165,77
1453447364,166,80
1453447365,167,83
1453447366,168,83
1453447367,169,93
1453447368,170,91
1453447369,171,75
1453447370,172,78
1453447371,173,75
1453447372,174,77
1453447373,175,100
1453447374,176,100
1453447375,177,97
1453447376,178,84
1453447377,179,80
1453447378,180,77
1453447379,181,93
1453447380,182,100
1453447381,183,94
