1453447013,1,87
1453447014,2,80
1453447015,3,75
1453447016,4,63
1453447017,5,66
1453447018,6,60
1453447019,7,60
1453447020,8,63
1453447021,9,75
1453447022,10,81
1453447023,11,97
1453447024,12,88
1453447025,13,74
1453447026,14,70
1453447027,15,56
1453447028,16,63
1453447029,17,54
1453447030,18,54
1453447031,19,51
1453447032,20,51
1453447033,21,69
1453447034,22,69
1453447035,23,78
1453447036,24,69
1453447037,25,60
1453447038,26,61
1453447039,27,51
1453447040,28,53
1453447041,29,56
1453447042,30,54
1453447043,31,43
1453447044,32,43
1453447045,33,41
1453447046,34,43
1453447047,35,48
1453447048,36,56
1453447049,37,60
1453447050,38,63
1453447051,39,70
1453447052,40,66
1453447053,41,66
1453447054,42,63
1453447055,43,63
1453447056,44,61
1453447057,45,57
1453447058,46,63
1453447059,47,74
1453447060,48,81
1453447061,49,83
1453447062,50,77
1453447063,51,70
1453447064,52,69
1453447065,53,69
1453447066,54,77
1453447067,55,66
1453447068,56,56
1453447069,57,60
1453447070,58,54
1453447071,59,60
1453447072,60,67
1453447073,61,61
1453447074,62,57
1453447075,63,61
1453447076,64,56
1453447077,65,57
1453447078,66,69
1453447079,67,66
1453447080,68,80
1453447081,69,66
1453447082,70,57
1453447083,71,50
1453447084,72,43
1453447085,73,56
1453447086,74,61
1453447087,75,69
